id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
,0520630,"On A Sizzling Platter: Veal Cutlet Parmigiana, French Fried Onions, Mashed 'taters, Tossed Salad, Dessert, Beverage ",,1,1,0,0,0,0
,0520631,"On a Sizzling Platter: Omah Kiam: Chunks of Potted Steak on Curried Rice; Tossed Salad, Dessert, Beverage",,1,1,0,0,0,0
,0520632,TERRAPIN A LA TRAVERS,,1,1,0,0,0,0
,0520633,French Melba Toast,,1,1,0,0,0,0
,0520634,Smothered Green Kale,,1,1,0,0,0,0
,0520635,Bermuda Potato-Persillee,,1,1,0,0,0,0
,0520636,"BREAST OF CHICKEN, CHAUSSEUR",,1,1,0,0,0,0
,0520637,Fresh Mushrooms Forestiere,,1,1,0,0,0,0
,0520638,Flötegröt,,1,1,0,0,0,0
,0520639,Karbonader med lök,,1,1,0,0,0,0
,0520640,Oksemörbrad Ménagère,,1,1,0,0,0,0
,0520641,Aprikosgröt med flöte,,1,1,0,0,0,0
,0520642,Bouillon Royal eller,,1,0,0,0,0,0
,0520643,Svinekotelett med erter ,,1,1,0,0,0,0
,0520644,Avk. hellefisk med persillesmor,,1,1,0,0,0,0
,0520645,Hellefisk frit. Remouladesaus,,1,1,0,0,0,0
,0520646,GREEN CHILE STEW,,1,1,0,0,0,0
,0520647,SM. Milk,,1,1,0,0,0,0
,0520648,lg milk,,1,1,0,0,0,0
,0520649,"CONSOMME, Double, Hot, Cup, Jellied",,1,1,0,0,0,0
,0520650,"OYSTERS Stewed in Milk, Cream",,1,1,0,0,0,0
,0520651,"Green Apple Pie with Cheese, AlaMode",,1,1,0,0,0,0
,0520652,The Catch of the Day,,1,0,0,0,0,0
,0520653,The Catch of the Day - Fresh from the Market,,1,1,0,0,0,0
,0520654,La Vichyssoise glacée de Monsieur Diat,,1,1,0,0,0,0
,0520655,"A L'etal du Poissonier: Victor a choisi pour vous, regardez l'ardoise",,1,0,0,0,0,0
,0520656,A L'etal du Poissonier: Victor a choisi pour vous... Regardez l'ardoise,,1,1,0,0,0,0
,0520657,Un Morceau Pour Monsieur,,1,1,0,0,0,0
,0520658,Une Tranche Pour Madame,,1,1,0,0,0,0
,0520659,Le Plat du Jour,,1,1,0,0,0,0
,0520660,Le Chef Michel a Préparé Pour Vous... Regardez L'Ardoise,,1,1,0,0,0,0
,0520661,Thé Glacée,,1,0,0,0,0,0
,0520662,ORCHESTRA PROGRAM,,1,1,0,0,0,0
,0520663,March,,1,1,0,0,0,0
,0520664,The Starry Jack,,1,1,0,0,0,0
,0520665,Hildreth,,1,1,0,0,0,0
,0520666,Tango,,1,1,0,0,0,0
,0520667,Hein,,1,1,0,0,0,0
,0520668,Characteristic,,1,1,0,0,0,0
,0520669,Finale,,1,1,0,0,0,0
,0520670,On Desert Sands,,1,1,0,0,0,0
,0520671,Duryea,,1,1,0,0,0,0
,0520672,Potato Bug Parade,,1,1,0,0,0,0
,0520673,Beatrice Fairfax,,1,0,0,0,0,0
,0520674,Beatrice,,0,0,0,0,0,0
,0520675,Beatrice ,,1,1,0,0,0,0
,0520676,Fairfax,,1,1,0,0,0,0
,0520677,Allen,,1,1,0,0,0,0
,0520678,Lenzberg,,1,1,0,0,0,0
,0520679,Cobb,,1,1,0,0,0,0
,0520680,Monaco,,1,1,0,0,0,0
,0520681,W.F. Berry,,1,1,0,0,0,0
,0520682,"Bandmaster, U.S.N",,1,1,0,0,0,0
,0520683,United States Ship Wyoming,,1,1,0,0,0,0
,0520684,Wardroom Mess,,1,1,0,0,0,0
,0520685,22-Feb-16,,1,1,0,0,0,0
,0520686,"Guacanayabo Bay, Cuba",,1,1,0,0,0,0
,0520687,Surf Pot Luck,,1,1,0,0,0,0
,0520688,A combination of Seafood delicately blended into a light cream soup with Sherry Wine and glazed,,1,0,0,0,0,0
,1520689,"Originated in the small town of Tijuana, Mexico.",,1,0,0,0,0,0
,0520690,Whole Broiled Chicken Lobster with Drawn Butter,,1,1,0,0,0,0
,0520691,"Potatoes, Cole Slaw",,1,1,0,0,0,0
,0520692,"Pies, Strudle, Ice Cream",,1,1,0,0,0,0
,0520693,"Coffee, Tea, or Demi Tasse",,1,1,0,0,0,0
,0520694,Playing Cards :,,1,1,0,0,0,0
,0520695,The amount due on Wine Cards will be collected the day before arrival.,,1,1,0,0,0,0
,0520696,Frog Legs -- Sauteed in Butter,,1,1,0,0,0,0
,0520697,VEGETARIAN BURRITO Assorted vegetables in a flour tortilla with red chile and cheese; spanish rice and posole,,1,1,0,0,0,0
,0520698,All served with Sopaipillas and Honey,,1,1,0,0,0,0
,0520699,TRY OUR WORLD FAMOUS CREPES SUZETTE CABO SAN LUCAS MADE AT YOUR TABLE,,1,1,0,0,0,0
,0520700,"Aiguilettes of Spanish Mackerel, Cardinal",,1,1,0,0,0,0
,0520701,"Salt-Mackerel,",,1,1,0,0,0,0
,0520702,Kalbsnierenbraten Gelbe Rüben und Erbsen,,1,1,0,0,0,0
,0520703,"DUMPLINGS, CRANBERRIES",,1,1,0,0,0,0
,0
